Name,Tag Name,Description
🇺🇦 GameFi Drops - StandWithUkraine🇺🇦,GameFiDrops,"The Gamefi community helps players, games, and guilds to develop the Gamefiverse | Play-to-Earn projects, Blockchain #NFT Games #INO #IGO events are all here🚀"
Gamefi Army,gamefiarmy,"A gaming community driven by effective and profitable ""Play to Earn"" and investment strategies in the GameFi Industry"
GameFi_Research_Lab,GameFi_Re_Lab,GameFi Research Lab ( #Blockchain、#Gamefi、#IDO、#AMA、#Airdrop、#Play2Earn、#NFT、Top #Crypto gamefi project news 、community  and analysis、Project Promotion.)
GamefiProtocol,GamefiProtocol,GameFi Protocol is the first GameFi aggregation protocol that advocates F2P2E (Free to Play to Earn)
GameFi Study Club,Gamefi_club,"A club focus on GameFi's learning and sharing. GameFi market project news, research measurement, news, events and so on!
Telegram:https://t.co/uMfusRzdHJ…"
GameFi Crossing | $XYA,GameFiCrossing,"The official Twitter account of GameFi Crossing ($XYA), an HRC-20 token on the Harmony blockchain centered around gamified NFTs and decentralized applications."
MetaCombine: Connecting GameFi,MetaCombine,"The LinkedIn of GameFi: MetaCombine is an all-in-one hub that will seamlessly connect the GameFi ecosystem.

Developed by Nova Guild Games"
Maze_VR_GameFi,MazeMetaverse,"The best VR GameFi in 2022.

https://t.co/G0pFWmiCQh
https://t.co/d0NYbyOu30
youtube@Maze_VR_GameFi

#VRgame  #GameFi  #Metaverse  #NFT"
PAPA DAO🔺| Backing #Metaverse and #GAMEFI,PapaDAOofficial,Big believer in Metaverse & GameFi Projects.
Gamefi Chill,Gamefi_Chill,"GameFi Chill where you can earn crypto while gaming. 
#NFTGaming #P2E #M2E. TG: https://t.co/QxE8DkL1BD
For business proposal, contact: https://t.co/Dbuz0P0nzH"
GameFi Asia,gamefiasia,"A 4-day hybrid GameFi experience for builders, enthusiasts, guilds & KOLs 👾  Proudly brought to you by @SaladVentures and @metajamasia 🌟
🗓18 - 21 July 2022"
GameFi Daily,daily_gamefi,"🎮 Discover, research & review quality GameFi projects.
🤖️ DM for business/collab inquiry.
🌵 #GameFi #Metaverse #P2E"
Weaponized Countries ⚔️ GameFi,WCNFT,Weaponized Countries is a GameFi NFT collection on #Fantom of randomized countries featuring 500+ unique weapons and traits! Discord 📲 https://t.co/vUMgJAHj6P
GameFi Guild,GamefiGuild,"The GMF Guild is a DAO that empower guild participants & connect more high-quality gamefi projects .
Play for free , earn through game.
https://t.co/2rcxDmdobA"
GamefiAcademy.eth | SLParmy | VISarmy,GameFiAcademy,Gamefi and Defi education | Bullish on Play to Earn
Pumpkitten (🎃🐱) GameFi NFTs of Fantom,Pumpkittens,The First Revenue Sharing NFTs! First GameFi on FTM with NFT farming. Join discord 👉 https://t.co/cW4jOcVlQV. Built by @BloqBall
DIF GameFi,difgamefi,"DIF GameFI is a community discovering and investing in blockchain game

Enjoy the game while earning money with us

#difgamefi #ntf #gamefi
Tele: https://t.co/MoBLH5RYzO"
PocketPals | PTE GameFi on Fantom,PocketPalsNFT,"👾 Collect, Battle, and Earn! 👾 NFT GameFi Coming To $FTM ¤ Join Our Discord! https://t.co/s2gM8wIBJd ¤"
"FxBox - Crypto & Forex GameFi, NFTs",FxBox_io,"Swap, Stake, Mine, Farming and Trading - FxBox is revolutionising the GameFi space by gamifying Financial Trading"
BOSSGamefi,Bossgamecn,Boss game is a diversified aggregation platform based on bep-20 intelligent chainEcological development gamefi NFT Swap Ecological construction in progress
Gamefi Street,Gamefi_Street,"GameFi Street where you can earn crypto while gaming. 
#NFT #NFTGaming #P2E #Metaverse.
🤝For business proposal, contact: https://t.co/2ciUfVmIAH"
MetaHero,MetaheroGamefi,"#MetaHero is a classic and unique #TowerDefense gamefi based on #BSC
Web: https://t.co/p9gk4Sy6KK
Tg: https://t.co/FUIcAC33JU
Discord: https://t.co/QCuKM60568"
GameFi.Fund,GameFi_Fund,"We are a cutting edge blockchain capital, focusing on GameFi and NFT, if you are startup in Metaverse, please send your business plan to: bp@gamefi.fund"
GamefiDAO.eth,gamefidao,Founder of Gamefi DAO
BNBRagnarok | GameFi Three-type Earning,bnbragnarok,"First NFT GameFi Three-type Earning | Hold, Play and Earn up to 398,295% with Fixed. Get a 5% reward in $ZENY from a referral. https://t.co/S8VvGcjVxY"
Stray Inu GameFi,STRAYINU_GameFi,StrayInu's GameFi Account
ONE Quantum Universe | NFT’s & GameFi,qntmverse,🔜Spiritual Based Crypto-Community🌐 🔮Integrating the QNTM Universe with ONE 💟 Animated NFTs on ERC-721 & QNTM GameFi 👽
ARCADE Crosschain GameFi Exchange,arcadegamefi,ARCADE is a dedicated cross-chain launchpad and infrastructure for incredible GameFi projects.
Emerging GameFi on Defrontier 🐿️,DefrontierNet,"Emerging GameFi 👉 Visit https://t.co/6qoHK36mSa 🐿️ 

Built by @brimlesslab | Telegram https://t.co/Hl9hb5lqbO | Discord https://t.co/XdxSOhFjQk"
rimau.eth | 0xlokal.lens | Exploring GameFi,0xLokal,"GameFi Enthusiast. Part time degen. Looking for Analyst role in GameFi. 

 ✨SiswAxie Micro-Guild Leader ✨ 26 🧑‍💻 ✨"
CORSAIR,CORSAIR,The leading source for PC components and gaming hardware since '94. Need support? Send a DM to @CorsairSupport or visit: https://t.co/S4ASPtXs6s
Mike Rufail,hastr0,"Father, Husband, Brother, Son. Co-Owner and Chief Gaming Officer @OpTic @OpTicTexas @DallasFuel #esports"
ASTRO Gaming,ASTROGaming,"The ASTRO crew shares our favorite news about gaming products, lifestyle, and esports. // @thecollective // @ASTROTR // #ASTROFamily"
Facebook Gaming,FacebookGaming,Watch and discover gaming videos at https://t.co/TCJKRlwl9Q. To go live on Facebook visit https://t.co/cNP9V6ohLd. Support for Level Up: https://t.co/8UpTpE6sww
Boyd Gaming Corp,boydgaming,"Visit the official website of the Boyd Gaming Corporation. Boyd Gaming operates 28 gaming entertainment properties in NV, IL, IN, IA, KS, LA, MS, MO, OH, & PA."
Green Man Gaming,GreenManGaming,We’re your single destination for everything gaming - shop | community | blog | games publisher | official partner of 1200+ devs and publishers.
VICI Gaming,VICI,"VICI Gaming is one of the Top professional esports organizations in China. Conquering since 2012. VENI, VIDI, VICI! VG电子竞技俱乐部 [ #VGFighting #VGWIN ]"
CORSAIR Support,CorsairSupport,"The official support account for the leading source for PC components and gaming hardware since '94, CORSAIR. 

https://t.co/S4ASPtXs6s"
Retro Gaming Expo,RetroGamingExpo,The Retro Gaming Expo is an annual convention in Portland Oregon paying tribute to the video games of yesterday.
AGCO,Ont_AGCO,Alcohol & Gaming Commission of Ontario. We monitor this account & tweet Mon-Fri 9AM-5PM. FR: @Ont_CAJO. Terms: https://t.co/TGf0it8V36
National Indian Gaming Commission,NIGCgov,The mission of the NIGC is to effectively monitor and participate in the regulation of Indian gaming pursuant to the Indian Gaming Regulatory Act (IGRA).
Warchief Gaming,Warchief,A development studio and tabletop gaming club by @ChrisMetzen. PR Contact: PR(at)https://t.co/mVR1ZzpyuB.
Twitter Gaming,TwitterGaming,HAGS (have a gaming summer)! she/her.
GamingBolt,GamingBoltTweet,We are one of the most frequently updated sources of gaming news on the internet. We cover everything from gaming consoles to handhelds.
AMD Gaming,AMDGaming,"Dedicated to gamers, esports, developers & the gaming industry for the best possible PC gaming experience."
Inside Gaming,InsideGaming,Weekly gaming news and videos!
Meta Quest Gaming,MetaQuestGaming,"New handle, who dis?

Oculus Gaming  👉  Meta Quest Gaming"
Intel Gaming,IntelGaming,"Official Intel Gaming Handle | News on Products, Events, Contests & Deals"
UFO Gaming,TheUFOtoken,🛸 UFO Gaming ($UFO) is a fully decentralized inter-galactic social gaming token. Blockchain. P2E. Metaverse. NFT. Gaming. Virtual Land. IDO. All in one place.
Engadget Gaming,engadgetgaming,The latest gaming news straight from @Engadget
PGCB,PAGamingControl,The Pennsylvania Gaming Control Board regulates all aspects of the Commonwealth’s casino industry.
G FUEL® Gaming,GFUELesports,The Official Gaming Hub of @GFuelEnergy & The #GSQUAD | #GFUELClips | Stream Updates | Gaming News
Tribe Gaming,TribeGaming,Mobile gaming esports and content organization. The biggest creators & best teams in mobile gaming. Welcome to the Tribe! #FEARTHETRIBE
Walmart Canada Gaming,WalmartCAGaming,The official Twitter of Walmart Canada Gaming. Follow us for the latest Walmart gaming deals and news! | For customer service please message @WalmartCanada.
SXSW Gaming,SXSWGaming,March 2020 — The SXSW Gaming Expo is the nexus of gaming culture at the legendary SXSW Conference and Festivals.
Penn National Gaming,PNGamingInc,Penn National Gaming is North America's largest regional gaming operator.
Gaming Nexus,GamingNexus,"Established in 1997, Gaming Nexus is an ad-free site, writing honest video game reviews and covering industry news."
HTC Gaming,htcgaming,This account is no longer active. Follow @HTCVive for up-to-date information on #VR gaming announcements and collaborations!
EPOS Gaming,eposaudiogaming,"Headsets designed to provide that ultimate gaming experience.
#ThePowerofAudio"
Invictus Gaming ➡️ ALGS Championship🇬🇧✈️🇺🇸🎮🥇,invgaming,"Invictus Gaming Official Twitter Account #iGWIN
🏆2012 #Dota2 TI
🏆2018 #LoL Worlds

Follow us on our social media 👇"
AGON by AOC,AOC_Gaming,"Everything you need to complete your gaming universe. Welcome to AGON by AOC.

https://t.co/CIEAsnPHR8"
Latinx in Gaming,LatinosinGaming,"@thegameawards Global Gaming Citizens
501c3 increasing #latinx representation across the Gaming Industry. Discord: https://t.co/Uwo2eTDmbo contact@latinxingaming.com"
Galadon Gaming,GaladonGaming,Mobile gaming content creator- 1.9M amazing YouTube subscribers. #GALAFAM #Galacoin $NWBO
Lex,LexMobileGaming,"Gaming enthusiast and creator.

Code Lex: https://t.co/VDgVIlMSoT

Content Creator for @tribegaming"
NGON,NGONGaming,NGON is a community made by the folks at Uplay PC; a home for PC gaming and the geek culture that comes with it.
Predator Gaming,PredatorGaming,"The official handle of #PredatorGaming.
Experience a showcase of modern gaming and discover that power, #ItLiesWithin you."
Engine Gaming & Media (Nasdaq: GAME),EngineMedia,"Engine Gaming & Media provides premium social sports and esports gaming experiences, as well as unparalleled data analytics, marketing, advertising solutions."
LootGamingHQ,LootGamingHQ,"Loot Gaming is a monthly mystery subscription service. Collectibles, apparel, gear & inclusion into an epic gaming community! Support - https://t.co/MsVCiAwI7W or @AskLoot"
Hooga Gaming | Claim Your 🍌,HoogaGaming,Hooga Gaming aims to be the pioneer and leader of Web3 Gaming and its ecosystem. We have the best gaming apes in the jungle 🎮🦍
Herman Miller Gaming,HMGaming,"Advanced gaming gear, engineered to unlock peak performance. #hmgaming @hermanmiller"
UniX Gaming,UniXGamingGuild,"1️⃣ Web 3.0 Gaming platform
74M AUM 📈 / 200k 🕹 Daily Active User
🦾 27M Streams 🦾 2 Launchpads
16k+ NFTs, 100+ Land 45+ Games
🪐 Sandbox 🪐 Azur Games"
LevelCap,LevelCapGaming,"Welcome to the Official LevelCapGaming Twitter. Follow me on Twitter for 1440P FPS Gaming Tips, Tricks, Gun Reviews, News, Commentaries and more!"
Predator Gaming USA,Predator_USA,"Official U.S. handle for #PredatorGaming.
Experience a showcase of modern gaming and discover that power, #ItLiesWithin you."
Overtime Gaming,OvertimeGG,"Overtime x @Vuirn, official account of @Overtime's gaming team."
Chito Gaming,ChitoGaminYT,Powered by @glytchenergy | follow for restock news | Gaming news| As an Amazon Associate I earn from qualifying purchases
Wyrmwood 🎲,WyrmwoodGaming,"Finely Crafted Gaming Furniture and Tabletop Accessories.                 
                                             
Questions -
sales@wyrmwoodgaming.com"
"SupplyNinja • Gaming Discounts, PS5 & Xbox Restock",SupplyNinja,"🥷🏽 Gaming & Tech Deals, News & Restocks

↗️ HIT that Follow Button & the 🔔 beside it!

📰 Seen in @Forbes, @CBSnews, & more!
📦 I earn from affiliate links"
Windows Central Gaming,WCGamingTweets,All @WindowsCentral PC/Xbox gaming coverage! | Business 📧: @JezCorden | 📹 https://t.co/7XKqeKRJqC… | Part of @FuturePLC
BCC Gaming,BCCgaming,"BCC Gaming - 10,000,000+ Subscribers on Youtube! Entertaining millions of people, every day!"
GamingBits,gamingbits,For your itchy gaming finger!
Neebs Gaming,NeebsOfficial,The greatest gaming channel on YouTube #WorldPeace
CDEC Gaming,CDECgaming,CDEC Gaming Fan Group: 240494859
Combat,CombatGaming,"A gaming collective for celebrities, athletes, creators & you. 𝙀𝙫𝙚𝙧𝙮𝙤𝙣𝙚'𝙨 𝙖 𝙜𝙖𝙢𝙚𝙧."
iLL Gaming,Illgaming,"India's biggest gaming site. Gaming, the iLL way"
Scan Pro Gaming,ScanGaming,"Welcome to Scan Pro Gaming, a hub to see the latest gaming and technology news! See @ScanComputers for our main channel."
Gaming Memories,GreenScreenDays,"Gaming from back then to the present.
Contact GreenScreenDays@Hotmail.com
(Profile Pic - Abe's Oddysee) Mature account not suitable for children. #RetroGaming"
Air Force Gaming,AirForceGaming,"The official Twitter of Air Force Gaming, the Department of the @USAirForce's home for gaming and esports. Following, RT's and links ≠ endorsements. #FlyGameWin"
Gaming In Asia,GamingInAsia,"🇯🇵🇰🇷🇨🇳🇹🇭🇲🇾🇵🇭🇱🇦 
Gaming in Asia - gaming news in Asia  - Asia based 

Translator coordinator for #Dota2 Arcade games
SFM 3D Animator
#GamingInAsia"
Solana,solana,"The world’s most performant blockchain  ◎ Fast, composable, green, and globally distributed.  Join thousands of developers in building the future of web3."
Cardano Community,Cardano,A decentralized blockchain based on peer-reviewed research and highly secure Haskell coding language | managed by: @CardanoStiftung | Join: https://t.co/ylJYfRcKTx
Flow,flow_blockchain,"Ecofriendly blockchain designed for Web3 apps without compromising UX, like @nbatopshot & @NFLAllDay. Let's build the open Metaverse 🌏 | https://t.co/tOAaZeYInw"
Partisia Blockchain,partisiampc,"Partisia Blockchain is a Layer 1 Blockchain solving the extended Blockchain Trilemma with ZK privacy, sharding for scalability, and #MPC collateralized bridge."
Velas,VelasBlockchain,Velas is the world's fastest EVM Blockchain and Ecosystem for smart contracts and dApps I Crypto Valley Top 23 Blockchain Firm | Ferrari Premium Partner
TON,ton_blockchain,"Inherited from Telegram, the TON blockchain was designed to onboard billions of users. It boasts ultra-fast transactions, low fees, and easy-to-use native apps."
IBM Blockchain and Supply Chain,IBMBlockchain,Blockchain and AI expertise for smarter supply chains and resilient businesses. DMs are open.
Blockchain at Berkeley,CalBlockchain,"Student-run organization at UC Berkeley focused on blockchain innovation via education, research, and consulting. Established 2016."
Bird oN Blockchain,birdoncrypto,Crypto and blockchain supporter
Blockchain Cuties Universe | Collectible #NFT Game,BlockchainCutie,"The cutest and fun to play #NFT #blockchain game. Runs on ETH, TRON, NEO, Polygon, EOS, HECO + all browsers and devices. ➡️ Play Blockchain Cuties Universe now!"
Vexanium Blockchain Foundation,vexanium,Vexanium is The Next Generation Blockchain for Mass Adoption | @vexaniumid | telegram: https://t.co/EUe09ShSjU (🇮🇩) https://t.co/B9Q9TOK4YH (🇬🇧)
LA Blockchain Summit,LABlockchainSmt,"L.A. Blockchain Summit is the premier blockchain technology and investment conference in the US. November 1-3, 2022 #LABlockchainSummit"
Flowverse 🌊 - Discover Flow Blockchain,flowverse_,"Discover @flow_blockchain projects and $FLOW NFT drops at https://t.co/ek6B74bSd4.

Follow for Flow Blockchain news, infographics and opportunities.

https://t.co/mKdWjQHSyu"
BEN,BlockchainEdu,"Unbiased blockchain and crypto education, analyses, reports, chatrooms, videos, courses, tutorials and more! Established 2014."
CRYPTO BOBBY BUY #TheBlockchainOracle 🐍🐳🐸🐽🐐,BOBBYBUYCALLS,"The Oracle of The Blockchain

Telegram🟢: https://t.co/LWUtBsGV9Q

CRYPTO MARKETING 📈 #PROMO 📥 #BTC #ETH #BSC #NFT #CRYPTO #SOLANA #BAYC $APE"
Riot Blockchain Inc.,RiotBlockchain,"$RIOT Blockchain, Inc. is a #Bitcoin only mining company, supporting the Bitcoin blockchain through industrial scale mining in the US."
Blockchain Brawlers™,bc_brawlers,"Blockchain Brawlers™ on the @wax_io Blockchain. The rowdiest #PlayAndOwn game in the #metaverse. #GameFi $BRWL $WAXP

Official Discord: https://t.co/1358Lv5G3t"
"Francisco ""Huntah™"" - NFTs , Crypto & Blockchain",TheGameHuntah,"Host/caster esports 🇨🇱🇺🇸 |  NFTs, Crypto & Blockchain 💰| Mkt Manager @BHBitverse | @thecoinhuntah 2nd tweet| La U💙| NFT Influencer
thegamehuntah@gmail.com"
Stanford Blockchain Club,StanfordCrypto,"The Stanford Blockchain Club is Stanford University’s official student group for everything blockchain, cryptoeconomics, and cryptocurrency."
"The Blockchain Socialist (⬛,🟥,⬛)",TBSocialist,I blog and podcast about blockchain and the left | Patreon: https://t.co/xFUiBSmPRK | Podcast: https://t.co/aKnuqOcGNi | Mirror: https://t.co/RkJdOduitx | @breadchain_ | @_cryptofutures
Paris Blockchain Week Summit,PBWSummit,Paris Blockchain Week Summit - The flagship event of @ParisBlockWeek @parisnft_day 👉 #PalaisBrongniart - April 13th-14th 2022
H I V E,HiveBlockchain,HIVE Blockchain Technologies | 1st publicly listed blockchain company mining #BTC and #ETH using 100% green energy | #ESG | NASDAQ: $HIVE
Blockchain Australia,BlockchainAUS,Australia’s Peak Industry Body for businesses implementing or evaluating blockchain or distributed ledger technology.
Gavin,BlockchainGavin,Day Trader. Blockchain Enthusiast. Check out my YouTube channel for weekly NFT related content. @AzerothAlpha | @ArcaneTools | No Paid Promo
💧Michael Q Todd ⛳ IOTA FAN l GOLFER l DREAMER,michaelqtodd,"🌱 
Lawyer in New Zealand, Australia & Japan
Found crypto & blockchain in 2011. #IOTA in 2015
Links pinned 
Building @GolfingCoin
Likes trees #NFTs $SOON
 ⛳  🌱"
æternity blockchain,aeternity,"æternity is a scalable blockchain platform that enables high-speed transacting, purely-functional smart contracts, and decentralized oracles. Coded in Erlang."
Harvard Law Blockchain & FinTech Initiative,HarvardLawBFI,The first student organization dedicated to growing the @Harvard_Law blockchain and FinTech community. Est. 2018.
Wanxiang Blockchain,WXblockchain,Wanxiang Blockchain is dedicated to building an open platform and offering resources to develop blockchain and promote its application in different industries.
EU Blockchain,EUBlockchain,"Twitter account of the EU Blockchain Observatory & Forum. Visit https://t.co/RbOyN23Jff. 
Posts and retweets do not represent the views of the European Commission."
Joshua Ashley Klayman,josh_blockchain,"aka ""Mother of Blockchains.""
Blockchain & Finance Deal Lawyer.  Never legal or investment advice. Views are mine personally, not necessarily anyone else's."
Blockchain Founders Fund,BlockchainFF,Blockchain Founders Fund (BFF) is a Singapore based early-stage Venture Capital Fund which invests in top-tier Blockchain startups globally.
The Stanford Center for Blockchain Research,CBRStanford,The Center for Blockchain Research (CBR) is a focused research effort on crypto-currencies and blockchain technologies.
Penn Blockchain,PennBlockchain,Student-run blockchain organization at the University of Pennsylvania
Blockchain for Europe,BlockchainforEU,"Innovation - Integrity - Empowerment #BlockchainforEU
Blockchain for Europe represents international industry players at EU-level."
Kelly Peters: BE+Blockchain4sustainability,KellyBEworks,Launching NewCo that combines insights from behavioral science with blockchain tech to help aspirational leaders achieve their sustainability goals.
Bitcoin Events,BlockchainZA,"Crypto Fest: 30 Sept 2022 | Cape Town & Virtual
Blockchain Africa Conference: 16-17 Mar 2023 | Johannesburg"
Blockchain Gaming,BlockchainGames,Your best source of information about video games using blockchain technology!
Blockchain Capital Partners,Blockchain_C,Blockchain Capital Partners is a proprietary fund; started mid 2017
Blockchain R.I.,blockchainRI,"Helping organizations navigate, accelerate, and lead the blockchain revolution."
Korea Blockchain Week,kbwofficial,"Korea Blockchain Week is Asia’s largest blockchain festival powered by FACTBLOCK. August 7-14, 2022. #KBW2022"
European Blockchain Convention #EBC22,EBlockchainCon,"The most influential Blockchain event in Europe · Join us in Barcelona on 26-28 June, 2022 · We are back in town!"
"MarQuis Trill | Crypto, NFT & Blockchain Analyst",6BillionPeople,"Cryptocurrency + NFT + Blockchain Educator, Investor & Trader. CEO of @altcoincon @blkblockchain @myhardwallet @wealthhumans Join my community today | Click ⬇️"
Steve - Ballers Blockchain,BlockchainSteve,Community Team @nbatopshot. Dad. Aussie. 🎥 Ballers Blockchain on YouTube
The Blockchain Media | We are hiring!,THECHAINMEDIA,The #1 Platform For Original & Daily Blockchain Analyses. Top 50 Most Influential (Lunar Crush). 6M+ Investors Reached Monthly. See more: https://t.co/vWxgLYdTTv
Blockchain Expo,Blockchain_Expo,"Analysing the potential of blockchain capabilities. Upcoming events in Silicon Valley, London & Amsterdam. 

#BlockchainExpo"
"NFT, Blockchain & Crypto Currency News",mabling,"Developer, IT professional and blockchain enthuasist - Register and get: https://t.co/NnnsBXwpYm"
Rust in Blockchain,rust_blockchain,Have fun with Rust in Blockchain ❤️ https://t.co/iq2ns7MkK6 🦀️ r/rustinblockchain
Blockchain Gaming News,GamingOnChain,Sharing Gaming News || Blockchain || Web3 || NFT || PC || Mobile || Console
CrypCade | MetaVerse on Blockchain,CrypCade,"CRYPCADE - Functional Fullstack Open Entertainment Metaverse on Blockchain 

#Gaming and #Social #Metaverse

https://t.co/WL2zeEnfLo 

ARcade App 

#NFT #Web3 #Crypto"
Advanced Blockchain,BlockchainAG,The first blockchain company to be listed on the Xetra (Frankfurt) Stock Exchange. | ISIN: DE000A0M93V6
Inery Blockchain,IneryBlockchain,Inery is the first-ever decentralized database management and blockchain solution   $INR
Berkeley Blockchain Xcelerator,Xcelerator,Official feed for Berkeley Blockchain Xcelerator at UC Berkeley. #GoBears
Blockchain Association of Uganda (BAU),blockchainug,BAU is a membership based organization in Uganda comprising various professionals working with blockchain technology and its different applications
Blockchain Economy,BEconomy_HQ,The Largest Blockchain Conference Network in the World 🌍 Next events: 27-28 July 2022 📍Istanbul 🟢 4-5 October 2022📍Dubai
Big Data & Blockchain,BigData_,Big data meets the Blockchain
UZH Blockchain Center,uzh_blockchain,The account with the updates of the  Blockchain Center of the University of Zurich
The Blockchain Baron.eth™🍷,TheBlockBaron,"Practical crypto information to create more Blockchain Barons. I simply share my insights. Notitia magnus, opes magnus."
World Blockchain Summit,TresconWBS,"World's Biggest Blockchain Summit Series. 

Keynotes + Panel Discussions + Pitch Competitions + Investors + Governments.

 Follow here for live updates!"
Asia Blockchain Summit | 🚀 VIDEO ON DEMAND,aba_summit,Learn how large companies are adopting blockchain today and why it will transform jobs in the years ahead #online at https://t.co/aTMB34w3ps
Binance NFT,TheBinanceNFT,"@Binance #NFT Marketplace
The one-stop for NFT 🖼️ ⬇️"
Suga Squad,SugaSquadNFT,The Official NFT collection of UFC superstar Suga Sean O'Malley @sugaseanmma
NFT Whale Alert,nftwhalealert,"NFT unusual high sale will be listed here. DM for listing or collab.

NFT Mint Alert (Free Trial): https://t.co/1oTT745tlN…

Disclosure: Pinned tweet 🔀 WL"
NFTNick.eth,allnick,"Helping collectors find the next big NFT.
🖼️ Buy our NFT https://t.co/wytM9ttcmQ"
Rarity Sniper,RaritySniperNFT,"The #1 source for NFT Rarity. 1700+ verified collection rankings on #Ethereum, #Solana & more! Fill the form to get listed with us: https://t.co/kpTDqdrTor"
ràn Crypto & NFT ⚡,ranpromoter,"$BSC | $ETH | $SOL | $CRO | NFT | 100xSeeker | Diamond Hand | #NFT #Metaverse #Cronos #ETH #BSC      

Vouch: #ranpaid"
NFT Update,NFTupdate,NOT an influencer. NFT source since March 2021 📈 Investor & OG 💎 Turn on Notifications 🔔 Founded by @CaponeOfFamilia🦍
NateAlex ლ⚈෴⚈ლ,NateAlexNFT,"NFT addict
 
current: CMO (Chief Meme Officer) @secretproject
past: Cofounder @nft42_

created chainfaces and squigglyWTF

tweets are for entertainment only"
NFT.NYC,NFT_NYC,"https://t.co/S09sVdT6LQ brings the NFT community together in NYC for debates, talks, and workshops. June 20-23, 2022."
NFT Drop Your,nft_drop_here_,"Drop your #NFT
Share your NFT with all.
#Cryptocurrency Lover #Bitcoin #Dogecoin #Ethereum #Cardano #BNB #USDT #XRP #Solana #DOT #USDC #UNI #LTC #LINK #BCH ...."
BETTY,betty_nft,🌈 Creative Producer | Feminist | NFT Collector | Horde Mother @Deadfellaz (she/her)
Solanart - Aggregating all Marketplaces,SolanartNFT,"The first ever NFT marketplace of Solana. Buy, Bid & Browse all Solana NFTs with unique instant liquidity features only on Solanart. https://t.co/mJhCUIyNH5"
xNFT NATE,NathanCRoth,CMO @jump_ | Top 50 CMO @Forbes | Top 25 CMO @BusinessInsider | Top 1 CMO @Mom | Top 5 NFT Collector @Yahoo | Top 30 under 30 alum | Scaled 5 unicorns | NFA
Crypto.com NFT,cryptocomnft,Own the culture you love. A leading NFT marketplace featuring exclusive collections from A-list creators.
NFT Rated,NftRated,"One of the top NFT Blogs - NFT Calendar 📅

List your NFTs: https://t.co/QvaPOlHA1Q 🔥

DM for promo 📩"
FANZO 🧢 NFT 365 (He/Him),iSocialFanz,"Buying an NFT 365 days HODL til 11.11.22: #Mint365 
Host @NFT365Podcast Top 25 Podcast #NFT365 
Digital Futurist + Speaker 
Creator $ADHD Social Token
#GirlDad"
Ghxsts | NFT Collectibles,Ghxsts,"a hand-drawn NFT Mythxlogy. Ghxsts, Demxns, Alixns and more. Created by @GxngYxngNFT and @JxnetNFT"
pssssd,ThePossessedNFT,We all have a dark side ||| What will yours look like? ||| An nft collection created by @tmw_buidls and @whatthefurr https://t.co/UASoi2DXpB
Otto Suwen,OttoSuwenNFT,"Gaming NFT enthusiast. No paid promo. 

Please DM this account for advisory inquiries. (Specializing in tokenomics / game design)"
Michael,MichaelM_NFT,"#bitcoin #ethereum #nft | Business: michael@totaladvisory.com
Top ranked IOT/Fintech Influencer @Onalytica | NFT Promo's
Partnered with @BAWLSGuarana"
SkyVerse,SkyVerseNFT,Project SkyVerse aims to provide a Virtual Space to cross-bridge all NFT Communities @SkyWorldsNFT | OS: https://t.co/hBLonbLQkP
CryptoBatz,CryptoBatzNFT,Collectible NFT batz created in LA by @OzzyOsbourne & @SutterSystems Discord: https://t.co/c8bUinn1LN OS: https://t.co/7sgVfwn4gT
CryptoHasbulla NFT,Hasbulla_NFT,"Hasbulla's Official Profile & NFT Project. To become a member, buy a Crypto Hasbulla NFT on OpenSea. Discord link in bio. Inquires: info@hasbulla.com"
NFT Worlds,nftworldsNFT,"NFT Worlds is the most capable & flexible metaverse platform.
--
Learn more: https://t.co/e2XSvqyAsM
OpenSea: https://t.co/uhpFW6mOmo
Discord: https://t.co/ANwMg5wHIE
$WRLD"
Hyperspace | Solana NFT Marketplace & Aggregator,hyperspacexyz,"Solana NFT Bodega || NFT Marketplace, Aggregator, Launchpad, Portfolio Tracker, Realtime Floors 👀 For More Alpha: https://t.co/E8Rxgaw1mr"
The NFT Gallery,DropYourNFT,Share your NFT with the community 🔄
NFTGirl 🖼,NFTgirl,Host of #TheJoyofNFTs & @IYKYKShow 🎙 Sotheby's Featured Collector ✨ Follow to hear stories of how creators succeed in the NFT Space
Women and Weapons NFT,WomenandWeapons,NFT Art Collection Created by: @NFTSaraBaumann 5% of profits to charity Buy: https://t.co/9smPjg97h0 Community: https://t.co/A6A5yJxllU
Jorge NFT,jorgeamorin,NFT & Chill🥇Social Media Agent & Web3 Marketing 🔔Win NFTs & Prizes daily | Business ➔ Hit myTG 📱#jorgeNFT #ETH #SOL #BNB #BTC #NFT
Manta,MantaNFT,NFT 💎 OG since 2017 |🦄 1st ever Beeple |🪨 Etherrock #28 |🌎 31 NFT Worlds |🌎 143 Sandbox |🌎 60 Somnium Space | 🖼️ 500+ artworks | Founder @artvatars
Artnome,artnome,Analyze your NFT collection for risk and create a free backup at https://t.co/cNwdgpJCBF
Niftydrops.io NFT Drops💧,niftydrops,📲 The first NFT Drops app and NFT Calendar💧 Helping NFT Collectors find NFT drops across all blockchains 🌎 & NFT Creators MARKET your NFT launches.
Leonidas.eth,LeonidasNFT,NFT Archaeologist｜NFT History｜History Museum: https://t.co/OfaIArDJ97｜Skull Museum: https://t.co/r1mesOfCEC
